Longitude,Latitude,Col2
116.70691603110612,35.14411913229446,9
127.36578866866844,33.55135734108232,0
114.92458503975764,31.724621443785416,4
114.21956590194226,37.53488307557797,5
117.96103627598713,31.475722779823567,3
119.75062687469351,38.25920050909365,4
113.1232545471259,38.95006327171083,9
128.1959772744546,38.99476596110861,7
118.14509767388064,38.98862956114755,6
116.4395837449838,35.903115903794884,8
126.7415735047583,30.050271481983334,1
126.35796431306343,31.94259030829654,5
122.01830113475089,36.0157841610269,6
114.47767628198208,30.91509864016155,0
126.81626146685893,34.05460665025887,7
116.00069839239379,37.014795073481196,6
114.93417298694573,39.13612873203365,1
111.79982290959072,36.05434305617983,0
119.35242620405326,33.224041201234705,6
115.14992126074415,38.54439941532444,7
124.24232278532982,32.644584699334196,7
128.34727751172136,38.86534702602148,5
126.87697473829553,34.71045570883007,1
119.31353459026406,34.6370843580975,7
123.3017962358893,38.81256707307578,3
114.2384446119867,33.306953037445226,0
120.71259450668086,38.712469617337604,2
119.01236661784318,33.64036608984678,4
110.92469847217453,37.5687204353395,5
121.70544792889481,33.34951957386117,1
114.18969655792456,39.30492318986047,5
119.38033395320399,33.34636501246092,6
117.02277115217622,38.83849588910045,9
124.36303942674249,37.606644915618624,4
111.55561244920239,31.990722228788783,0
127.00211140657186,30.153340775739046,1
115.02963028433525,38.32440199743578,6
116.43408435490964,32.66913188827212,6
111.480943983671,31.280064438199954,3
121.64796587866068,39.453882021901194,7
127.38201461376798,32.48763420681683,2
126.80593471109032,39.30486041761631,6
124.0956409948332,30.61697332614721,2
112.66051350747678,39.882592938746484,3
117.7578604059147,32.94011448103368,8
120.28428725404247,38.38194291869165,3
111.77919379459031,36.99787183293561,5
125.70851815911723,36.5383566773002,2
122.13621981180358,33.98104866466782,8
129.02995068060883,30.714139825752564,1
114.99999792031379,38.928808532998666,4
124.07678858754915,31.933780838442555,2
128.99119781564315,34.60744579120693,5
121.64024617007637,38.826474115284874,3
122.50952293093057,35.0109460177779,3
112.01351470217341,37.69313579652862,1
120.18541754552032,36.52080574680468,3
120.08455526955639,30.265338036226474,8
128.89689874913523,37.31192670559326,5
117.33803608651522,33.720279349433305,9
116.88768528789447,31.27611931201622,4
110.4269161828925,39.900106641900976,8
113.30981663646081,34.14635324030752,8
129.19554132020374,31.924866754801027,9
122.79865856270362,34.74802118970209,1
126.87374494172289,35.20492710526044,7
127.73493343975127,39.32747974434767,0
127.37255399461245,35.489777814863324,3
128.1298344938243,30.91725915372775,5
114.86729194754193,35.22139112888361,9
120.07472301924587,34.46199274822256,8
113.39503123381479,35.467701782917366,9
123.83229217135295,39.354352915967155,8
118.0782007252403,30.30321654145589,0
110.83970913624596,34.69860897359605,0
127.9570907926838,32.18884977601052,0
117.91965366486347,33.976656192906944,7
127.1775580668137,32.452289220124484,9
116.81284495461497,33.89175066897607,9
110.08619177557833,36.23964429606688,3
110.53655860365464,35.767268451423575,9
120.1873737532794,37.15735574954045,2
117.24756260269051,32.043411981478,7
113.39566845388447,39.19035614322841,7
111.63548983052813,38.08742916831802,8
127.63686676797006,31.469389821306272,5
115.65273087680875,31.16797209851647,9
112.89242981467355,35.9797009298847,4
121.36791155093569,33.58805954481557,8
117.36079583304863,30.367930976472387,1
117.04671915407287,36.062611437160996,3
129.46344921292234,31.385931437746628,7
118.33410289786843,30.908580837658054,4
127.33764585499424,36.43259494387687,1
123.78117577107928,34.94457494428284,7
122.61364835366196,30.470391625843884,4
126.52803637819562,34.76055388279198,5
126.7492495667733,35.72185283494689,7
121.99285211654401,33.07077258805398,3
122.2296743630333,39.24962002649258,7
123.66706869051507,32.90571374178007,6
112.35316130491653,37.29769174935431,7
120.51051859085027,30.087952690498298,1
126.4164487893267,35.48912330518298,5
124.00618953944465,31.305419704301215,2
111.64200773154265,39.37454601677467,1
122.74960737732373,32.21571060622218,3
127.31579781511117,38.79247488537001,1
128.53602859190033,39.63179535772689,2
128.87715534568713,33.59037541311169,4
118.08110424833764,32.769567161738465,2
125.59131436877689,31.375787306065817,2
122.26778961724224,39.44356493019298,6
112.77576869235573,32.08667601771354,6
122.11554876220364,30.432161656182046,8
126.31653357180377,32.10192119859723,0
117.55579124111117,31.022188909413146,8
116.78687648082445,35.20988198299569,5
127.77507352443763,38.399403580977776,5
128.40489870854452,35.80575359587755,3
122.92033016779583,39.41639559010964,2
118.69865123130724,36.50623560112839,9
123.9455741916104,32.77301023534059,6
123.3457844568882,30.54226309598581,8
123.46581695181366,38.7441979688532,2
123.37974386471174,36.8174057696748,9
120.85800275663367,34.07319892721712,3
125.36333883754021,30.369897382596356,9
115.47009344791621,39.23991986897507,6
129.7904543602636,33.07836771852014,6
121.66327706501121,39.197846795222546,4
113.55226498260654,31.777875563961697,2
127.10259522852193,31.428800526947384,0
121.24389845401335,30.353028761111737,7
123.46765577757769,39.87178215558885,0
123.97569755899292,33.3827872483451,0
115.43218663885928,32.88646222428032,5
115.69292417450944,38.4220805274491,0
129.5114037363051,39.558770995233665,5
